Complexity,Loss,Equation
1,1.5831627,"6.045687"
3,1.4056824,"x3 + 6.827464"
4,1.351686,"7.880113 - exp(x1)"
5,1.3120435,"7.959693 - exp(abs(x1))"
7,1.3041328,"(x0 + 7.930325) - exp(abs(x1))"
8,1.2823387,"6.9923835 - (x3 + abs(x1 * 3.393796))"
9,1.2802626,"abs((x3 + (abs(x1) * 3.420714)) - 6.9964724)"
10,1.2713065,"6.9063153 - (x1 + abs(x3 * (x3 + 1.371396)))"
11,1.2534664,"6.9215603 - (abs((1.3688009 + x3) * x3) + abs(x1))"
12,1.2347907,"(7.106063 - abs((x1 * 2.163597) * (x3 + 1.6059412))) - x1"
13,1.2156883,"abs(abs(((x3 + 1.656349) * -2.4759183) * x1) + (x1 - 7.1762605))"
14,1.2126822,"abs((7.1060634 - abs(((x3 + 1.6059397) * 2.163598) * x1)) - abs(x1))"
15,1.2086693,"abs((7.3367953 - abs(((x0 + x1) * -2.9885366) * (x3 + 1.6174948))) - x1)"
16,1.2069973,"abs((7.1060634 - (abs((x3 + 1.6059397) * (x0 + x1)) * 2.163598)) - abs(x1))"
17,1.2015914,"abs(x1 - (7.3356795 - abs((x3 + 1.6224557) * ((x1 + x0) * -2.9880793)))) + x0"
19,1.1989801,"abs(((x0 + x0) + abs(7.115609 - abs((x3 + 1.6252415) * (x1 * 2.4805832)))) - abs(x1))"
20,1.1970963,"(abs(abs(((x3 + 1.6454958) * (x1 + x0)) * 2.448265) - 7.190108) + (x0 + x0)) - abs(x1)"
