Complexity,Loss,Equation
1,1.8421854,"6.6079974"
3,1.5965713,"6.039532 - x3"
4,1.5805262,"7.4353266 - exp(x3)"
5,1.4895569,"5.927699 - (x3 / 0.56449264)"
6,1.425459,"6.6628237 - (x3 + abs(x3))"
7,1.2970296,"exp(2.0527005 - abs(x1 - 0.29830244))"
8,1.242027,"7.4191494 - abs((x3 / 0.44206938) + 1.3011607)"
9,1.2011935,"exp(2.0399916 - abs((x3 + 0.5338134) / -1.9146577))"
10,1.2011622,"exp(2.0392838 - abs(abs((x3 + 0.5343026) / 1.912131)))"
11,1.172474,"exp(2.0422604 - abs(x0 - ((x3 + 0.5648826) / 2.1230938)))"
13,1.0990074,"exp(2.0598946 - abs(((x3 + 0.6828676) - (x0 / x1)) / 2.1493232))"
14,1.046544,"exp(1.8621583 - abs(x3 + exp(-0.5993582 - (x0 / x1)))) + 1.6821296"
16,0.98521924,"exp(1.9770825 - abs((x3 + exp(-0.53496885 - (x0 / x1))) / 1.8172766)) + 0.58149093"
18,0.94740087,"exp(1.9296573 - abs((x3 + exp(((0.0286361 - x0) / x1) - 0.7141239)) / 1.6561204)) + 0.85773593"
20,0.943476,"exp(1.9573965 - abs((x3 + ((exp((0.050402477 - x0) / x1) * 0.28778887) + 0.17297022)) / -1.7494913)) + 0.6779296"
