Complexity,Loss,Equation
1,1.6071172,"6.187821"
3,1.3967174,"x3 + 6.9892645"
4,1.3460314,"7.020604 - abs(x3)"
5,1.3142018,"(x1 * x3) + 6.914066"
6,1.3140532,"7.291022 - abs(x1 * -2.2200332)"
7,1.3042573,"((x3 * x1) + 6.877662) - x2"
8,1.2914857,"(7.3877244 - abs(x3 * -2.4414103)) - x3"
9,1.2500749,"((x0 + 0.26650724) + (x0 * x3)) * 24.101313"
10,1.2367718,"abs((((x0 * x3) + 0.2646421) + x0) * 24.256918)"
11,1.2071357,"(((x0 + (x3 * x0)) + 0.40143082) * 16.944838) - x1"
12,1.1987815,"((x0 + ((x0 * x3) + 0.40718058)) * 16.748888) - abs(x1)"
13,1.1875806,"abs(abs(x1) - ((x0 + ((x3 * x0) + 0.40264165)) * 16.944868))"
14,1.1840142,"abs(((((x0 * x3) + 0.37454486) + x0) * 18.899006) - sqrt(abs(x3)))"
15,1.1835055,"abs(abs(x1) - ((x0 + (((x3 - x0) * x0) + 0.40264165)) * 16.944868))"
16,1.1801785,"abs((((x3 + 0.89785886) * (x0 + (x2 / -1.5806144))) + 0.52815145) * (12.569366 - x1))"
17,1.1731361,"abs((((x0 + (x2 / -1.578346)) * (x3 + 0.9237426)) + 0.5384063) * (12.296026 - abs(x1)))"
19,1.1718655,"abs((x2 - (12.296028 - abs(x1))) * (((x3 + 0.85709023) * (x0 + (x2 / -1.5385975))) + 0.5419692))"
20,1.1705683,"abs((((0.8583718 + x3) * ((x2 / -1.566494) + x0)) + 0.5415326) * (12.295113 - (abs(x1) - abs(x2))))"
