Complexity,Loss,Equation
1,1.7736608,"6.724609"
3,1.5591516,"6.3631115 - x3"
4,1.5256548,"7.5545793 - exp(x3)"
5,1.4514099,"6.1088343 - (x3 * 1.8848997)"
6,1.4000312,"(6.75253 - x3) - abs(x3)"
7,1.2890961,"exp(2.112512 - abs(x3 + 0.4842838))"
8,1.1979368,"7.561851 - abs((-0.52909356 - x3) * 2.3666008)"
9,1.1947415,"abs(7.583013 - (abs(x3 - -0.5331085) * 2.4916458))"
10,1.1808887,"7.556841 - abs(-1.2838084 - ((x3 - x0) * 2.2692106))"
11,1.1786937,"abs(abs(((x3 - x0) * 2.2881043) - -1.293967) - 7.5619326)"
12,1.1414894,"exp(abs(2.0400882 - abs(0.24110496 - ((x3 - x0) * -0.4611348))))"
14,1.1373789,"abs(7.477688 - abs((x3 + (x3 + 1.1524802)) - (x0 / abs(x3))))"
15,1.1288567,"7.506669 - abs(((x0 / abs(x3)) - (x3 + (x3 + 1.1838167))) - x2)"
16,1.1225859,"7.6556034 - abs(x3 + ((x3 + (1.4505377 - (x0 / 0.13085127))) - (x2 / x3)))"
17,1.1113386,"abs(abs(x3 + (((x3 + 1.4504716) - (x0 / 0.1305162)) - (x2 / x3))) - 7.658346)"
18,1.1024454,"abs(7.6182003 - abs(x3 + (((x3 + 1.319071) - (x0 / 0.15223706)) - (x0 / abs(x3)))))"
19,1.1016139,"abs(7.642969 - abs(((x3 + x3) + (1.4316063 - (x0 / 0.12360503))) - ((x2 * 0.8124851) / x3)))"
