Complexity,Loss,Equation
1,1.613527,"6.234914"
3,1.3941944,"x3 + 7.0364466"
4,1.3207417,"8.076086 - exp(x1)"
5,1.3108232,"7.978371 - exp(abs(x1))"
6,1.3098193,"8.00654 - (x2 + exp(x1))"
7,1.2836355,"exp(x0) * (7.8926916 - exp(x1))"
8,1.2725468,"exp(x0) * (7.9142065 - exp(abs(x1)))"
9,1.2083133,"(0.41990942 - ((x3 - -0.8934762) * x2)) * 15.230102"
10,1.2044729,"((0.42294145 - x2) - abs(x2 * x3)) * 14.91226"
11,1.1985079,"((0.48658398 - x2) - (x3 * (x2 - 0.023124302))) * 13.389574"
12,1.183452,"((0.610167 - ((x2 * x3) + x2)) * 11.096699) - abs(x1)"
14,1.1826402,"(((0.5978273 - ((x2 * x3) + x2)) * 12.2134075) - abs(x1)) * 0.9215764"
15,1.1791878,"((0.6104575 - (x2 + (x3 * x2))) * 11.096714) - sqrt(abs(0.0034534496 + x1))"
18,1.1657754,"(((0.6941563 - x2) - (x2 * (x3 * 1.3244311))) * 8.486094) + exp((x3 * x1) * 7.238358)"
19,1.1547356,"(0.48727834 - (x2 - ((x3 * -1.1456186) * x2))) * (13.480833 - (exp(x3) * abs(x1 * 2.1546972)))"
20,1.1437364,"exp(x1 * (x3 * 9.3381195)) + ((0.57579416 - (x2 - ((x2 * x3) * -1.2630844))) * (x1 + 9.960082))"
