Complexity,Loss,Equation
1,1.7677554,"6.7386966"
3,1.5628755,"6.398398 - x3"
5,1.4605205,"6.1480083 - (x3 * 1.8411852)"
6,1.4031464,"(6.791946 - x3) - abs(x3)"
7,1.3617167,"((x3 * x1) + 6.5383687) - x3"
8,1.1486088,"sqrt(exp(4.104068 - abs(-0.5063368 - x3)))"
10,1.1240026,"sqrt(exp(4.107361 - abs((x0 + -0.52255523) - x3)))"
12,1.0475506,"sqrt(exp(4.0996833 - abs((x0 / x3) + (x3 - -0.54193455))))"
14,1.0430281,"sqrt(exp((4.0811777 + x0) - abs(x3 + ((x0 / x3) - -0.52657807))))"
16,1.0272115,"sqrt(exp(4.1179385 - abs(x3 + (((x0 / x3) / (x3 / -0.2249229)) - -0.52657807))))"
18,1.0204948,"sqrt(exp(4.0811777 - abs(x3 + (((x0 / x3) / (x3 / -0.2249229)) - -0.52657807))) + 0.1296682)"
19,1.0029961,"sqrt(exp(4.0811777 - abs((x3 + ((x0 / x3) / (x3 / -0.2249229))) - -0.52657807)) + exp(x1))"
20,0.99429405,"sqrt(exp(4.0811777 - abs(x3 + (((x0 / x3) / (x3 / (x0 / x3))) - -0.52657807))) + 0.1296682)"
