Complexity,Loss,Equation
1,1.6139275,"6.24933"
3,1.3886174,"x3 + 7.0981317"
4,1.3126372,"8.113374 - exp(x1)"
5,1.2992052,"8.137443 - exp(abs(x1))"
7,1.2923325,"(8.107626 - exp(abs(x1))) + x0"
8,1.2857755,"7.4738283 - (abs(x3 - x1) + x2)"
9,1.2754239,"((x3 * x1) + 6.735687) - (x2 / 0.21425804)"
10,1.2563362,"7.29966 - (abs(x1 - x3) - (x2 / -0.18303545))"
11,1.2301558,"exp((3.2265086 - abs(x0 * x3)) + x0) - 18.688423"
12,1.2197915,"abs(exp((3.2265086 - abs(x0 * x3)) + x0) - 18.688423)"
13,1.2034817,"exp(exp((x0 + 0.67474335) - abs(x3 * x0))) - abs(x3)"
14,1.1908687,"(exp((x0 + 2.7199812) - abs(x0 * x3)) - abs(x3)) - 8.043116"
15,1.1858553,"abs((exp((x0 + 2.7768223) - abs(x0 * x3)) - abs(x3)) - 8.935554)"
16,1.179097,"(exp((x0 + 2.7304611) - abs((x3 + 0.28321937) * x0)) - abs(x3)) - 8.259401"
17,1.1787313,"abs((exp((x0 + 2.732785) - abs(x0 * x3)) - abs(x3)) - (x2 - -8.294637))"
18,1.1768306,"((exp(x0 + (2.7304611 - abs((x3 + 0.14556131) * x0))) - x2) - abs(x3)) - 8.259401"
19,1.1718367,"abs(((exp(x0 + (2.7304611 - abs((x3 + 0.14556131) * x0))) - x2) - abs(x3)) - 8.259401)"
20,1.1699915,"abs(((exp((2.7399209 - abs(abs(x3 + 0.19779381) * x0)) + x0) - x2) - abs(x3)) - 8.444883)"
