Complexity,Loss,Equation
1,1.754982,"6.775262"
3,1.5566843,"6.420991 - x3"
4,1.5130321,"7.690209 - exp(x3)"
5,1.4468949,"exp(2.1191027 - abs(x1))"
6,1.4015117,"(6.868463 - x3) - abs(x3)"
7,1.2613412,"exp(2.1191027 - abs(-0.4772999 - x3))"
8,1.1401584,"sqrt(exp(4.110217 - abs(x3 - -0.48386058)))"
9,1.1368396,"exp((3.8012242 - abs(-0.4825909 - x3)) / 1.8437617)"
10,1.1176918,"sqrt(exp(4.115592 - abs((x0 - x3) + -0.51467675)))"
11,1.1166304,"exp((3.9653854 - abs((-0.5123968 - x3) + x0)) / 1.9242142)"
12,1.0499877,"sqrt(exp(4.133107 - abs(-0.55915785 - (x3 + (x0 / x3)))))"
14,1.0410061,"sqrt(exp(4.133107 - abs(-0.55915785 - ((x0 / x3) + (x3 - x0)))))"
16,1.0393199,"sqrt(exp(4.133107 - abs(((x3 - x0) + (x0 / x3)) - -0.55915785))) - x2"
