Complexity,Loss,Equation
1,1.7326186,"6.9232874"
3,1.546737,"6.451096 - x3"
4,1.4942284,"7.7482853 - exp(x3)"
5,1.4303108,"exp(2.124554 - abs(x1))"
6,1.3927891,"(7.0003777 - x3) - abs(x3)"
7,1.2465496,"exp(2.1223874 - abs(x3 + 0.4621566))"
8,1.1276333,"sqrt(exp(4.1220727 - abs(x3 + 0.48052305)))"
9,1.1239028,"exp(2.0680463 - abs((x3 + 0.46957827) / -1.8194617))"
10,1.1133343,"sqrt(exp(4.127026 - abs((x0 + -0.49918672) - x3)))"
11,1.1055579,"exp(2.0685246 - abs(((x3 + 0.5101623) / 1.963585) - x0))"
13,1.0573885,"exp((3.971295 - abs(((x0 / x3) + x3) + 0.51298463)) / 1.9243978)"
14,1.021259,"exp(2.0652053 - abs(((x3 + 0.5097661) - (x0 / abs(x3))) / 1.9593724))"
15,1.0212063,"abs(exp(2.064146 - abs(((x3 + 0.5098078) - (x0 / abs(x3))) / 1.9631251)))"
16,1.0174696,"exp(2.0529158 - abs(((x0 / abs(x3)) - (x3 + 0.5080949)) / 2.0148458)) - x2"
17,1.0146809,"abs(exp(2.064146 - abs(((x3 + 0.5098078) - (x0 / abs(x3 - x0))) / 1.9631251)))"
18,0.9868474,"exp(2.0696502 - abs((x3 - ((x0 / abs(x3 / (x0 / x1))) + -0.4839339)) / -1.9068327))"
20,0.9656554,"exp(2.0681965 - abs(((x3 - (x0 / abs((x3 - x0) / (x0 / x1)))) + 0.50992304) / -1.9331847))"
