Complexity,Loss,Equation
1,1.7260251,"6.988357"
3,1.5445598,"6.471111 - x3"
4,1.4885877,"7.7917786 - exp(x3)"
5,1.4414563,"abs(7.791141 - exp(x3))"
6,1.3900678,"(7.0095925 - x3) - abs(x3)"
7,1.3456782,"(x1 * x3) + (6.7668524 - x3)"
8,1.1646205,"7.6851187 - abs((x3 / 0.40516028) + 1.1977627)"
9,1.1601697,"abs(7.716083 - abs((x3 / 0.3762808) + 1.269312))"
10,1.1414229,"7.763673 - abs((x3 / (0.3928027 - x0)) + 1.3326644)"
11,1.1242161,"abs(7.8388066 - abs((x3 / (0.3368253 - x0)) + 1.4619937))"
12,1.1204134,"7.7202473 - abs(((x3 / 0.40552726) - (x2 / x3)) + 1.3229328)"
13,1.1082605,"abs(7.744755 - abs(((x3 / 0.37878844) - (x2 / x3)) + 1.4077599))"
14,1.0949682,"7.759219 - abs((x3 / (0.39705148 - x0)) + (1.4576292 - (x2 / x3)))"
15,1.0765781,"abs(7.806008 - abs(((x3 / (0.35376188 - x0)) + 1.5600034) - (x2 / x3)))"
16,1.0617607,"abs(7.824706 - abs(((x3 / (0.35502577 - x0)) + 1.4343475) - (x0 / abs(x3))))"
17,1.0616482,"abs(7.824706 - abs((x3 / (0.35502577 - x0)) + abs(1.4343475 - (x0 / abs(x3)))))"
18,1.0459524,"abs(7.8091903 - abs((((x3 / 1.3612268) / (0.27609393 - x0)) + 1.4332935) - (x0 / abs(x3))))"
20,1.040593,"abs(abs(((x3 / 1.3797534) / (0.27571672 - x0)) + (1.4157125 - (x0 / abs(x3)))) - 7.802543) - x2"
