Complexity,Loss,Equation
1,1.7071141,"7.0144773"
3,1.5391186,"6.5756483 - x3"
4,1.4755094,"7.819461 - exp(x3)"
5,1.424689,"exp(2.1316516 - abs(x1))"
6,1.383176,"7.886914 - (abs(x1) * 4.0387363)"
7,1.2330453,"exp(2.120565 - abs(x3 - -0.4295636))"
8,1.1548427,"(3.1026344 - abs(x3 - -0.4767476)) * 2.4838629"
9,1.1498226,"abs(abs((x3 / 0.37481818) + 1.2624604) + -7.7326016)"
10,1.1110781,"exp(abs(abs((-0.4622536 - x3) / 1.811976) + -2.0723193))"
12,1.0956815,"exp(abs(abs(((x3 / 1.954345) + 0.25750518) - x0) + -2.0725543))"
14,1.0920012,"((x3 / -0.5208826) + 6.965871) - abs((x3 - 2.3404596) * (x3 - -0.3604948))"
15,1.0886323,"exp(abs(abs(((x3 / 1.9252133) + 0.2615239) - x0) + -2.1111634) - abs(x0))"
16,1.0827422,"(x3 / -0.5184445) + (6.9579787 - abs((2.3356824 - x3) * (x3 - (-0.40212998 + x0))))"
20,1.0805655,"((x3 / -0.5287173) + 7.036726) - abs((x3 + exp(x2)) - ((x3 - x0) * (x3 - exp(x0))))"
