Complexity,Loss,Equation
1,1.6552953,"6.461359"
3,1.381317,"x3 + 7.2467995"
4,1.2856534,"8.298888 - exp(x1)"
5,1.2828888,"7.379237 - (x1 * 2.088069)"
6,1.2701647,"8.68705 - (exp(x1) * 1.2551146)"
7,1.2641337,"7.449764 - ((0.6860286 - x3) * x1)"
8,1.2547568,"8.630022 - ((x2 + exp(x1)) * 1.2727511)"
9,1.2353418,"(7.124262 - (x1 / (0.35324147 - x0))) - x3"
10,1.2344407,"abs((7.1258154 - (x1 / (0.34801674 - x0))) - x3)"
11,1.1829787,"((((x3 + 0.9183232) * x0) / 0.059379153) + 6.990672) - x1"
12,1.1746715,"((((exp(x2) + x3) * x0) / 0.05924307) + 7.0045023) - x1"
13,1.1702337,"abs(((x0 * ((exp(x2) + x3) / 0.05725844)) + 7.0090313) - x1)"
14,1.166467,"((((x0 * (x3 + exp(x2))) / 0.060748264) - x1) - x2) + 6.952784"
15,1.1619325,"abs((((((exp(x2) + x3) * x0) / 0.05672731) - x1) + 6.9434834) - x2)"
16,1.1578406,"8.890872 - abs(((x3 / (-0.34930256 - (x1 + (0.050392386 / x1)))) + 1.4647626) + x1)"
17,1.1542103,"abs(x2 - ((((x0 * ((x2 + exp(x2)) + x3)) / 0.059684765) + 7.00944) - x1))"
18,1.1516591,"abs(x2 - (abs((x0 * ((exp(x2) + (x3 + x2)) / 0.060597263)) + 6.998317) - x1))"
19,1.1450262,"abs(((((x0 * (((x2 + x3) + exp(x2)) / 0.058795832)) + 6.943509) - x1) - x2) - x2)"
20,1.1429777,"abs(((abs((((x2 + x3) + exp(x2)) * (x0 / 0.059725136)) + 6.9428725) - x1) - x2) - x2)"
