Complexity,Loss,Equation
1,1.6690046,"6.5175104"
3,1.3865064,"x3 + 7.298872"
4,1.2875769,"8.348762 - exp(x1)"
5,1.2808971,"(3.4825244 - x1) * 2.1308432"
6,1.269111,"8.766497 - (exp(x1) * 1.2826165)"
7,1.244256,"(3.3353252 - x3) * (2.0802174 - x1)"
8,1.2404908,"exp(x0 + 0.8175893) * (3.1900947 - x1)"
9,1.1850687,"6.552363 - (x2 * ((x3 + 0.899686) * 14.993674))"
11,1.1563096,"6.6549263 - ((x2 - x0) * ((x3 + 0.90300786) * 10.379075))"
12,1.1458418,"abs(6.636649 - (((x2 - x0) * 10.75235) * (x3 + 0.897318)))"
13,1.1370414,"((((-1.035424 - x3) * 7.1016483) * (x2 - x0)) - x1) + 6.875268"
14,1.1362581,"abs((6.867976 - x1) - (((x2 - x0) * (x3 + 1.0238183)) * 7.423575))"
15,1.1324893,"(((x2 - x0) * (((x0 - x3) + -1.1065854) * 7.101469)) - x1) + 6.8549337"
16,1.128057,"abs((((x2 - x0) * ((x3 + x2) - -1.142194)) * 7.3457155) - (6.8783293 - x1))"
17,1.1250447,"(((x2 - x0) * ((x0 - (x3 + (x2 + 1.2280754))) * 7.049458)) + 6.867403) - x1"
18,1.1233429,"abs((((x2 - x0) * 7.0493364) * (x0 - (x3 + (x2 + 1.2260468)))) + 6.8676815) - x1"
19,1.1204107,"(((x2 - x0) * (((x0 - x2) - ((x2 + x3) + 1.3701298)) * 6.960456)) + 6.855664) - x1"
20,1.1187705,"abs(((((x0 - x2) - (x3 + (x2 + 1.3471426))) * (x2 - x0)) * 7.247352) + (6.859066 - x1))"
