Complexity,Loss,Equation
1,1.6797667,"6.5855646"
3,1.3886174,"x3 + 7.3517036"
4,1.3394182,"7.942356 - exp(x1)"
5,1.2775097,"(3.4423168 - x1) * 2.1654696"
6,1.2654848,"(7.6640897 - x1) - abs(x3)"
7,1.2486235,"(3.3489408 - x3) * (2.0782876 - x1)"
8,1.2456188,"7.914575 - abs((x3 - -0.15849432) * -2.0289621)"
9,1.2150958,"((x2 / -0.12606877) + 6.9760714) - (x3 * x3)"
10,1.2026936,"(7.3592854 - (abs(x3) * 1.8198735)) - (x2 / 0.13648288)"
11,1.1782072,"6.93868 - ((x2 * ((x3 - -0.87248826) / 0.09287457)) + x1)"
12,1.1514854,"6.9515023 - (((x2 * (x3 - -1.0145885)) / 0.08450191) + abs(x1))"
13,1.1514837,"abs(6.948055 - ((x2 * ((x3 - -1.0191416) / 0.084613085)) + abs(x1)))"
14,1.1216894,"(6.9943056 - (x2 / 0.088236704)) - abs(x3 * (-0.33111382 / (x2 + 0.29764408)))"
15,1.1066164,"abs((7.0038176 - (x2 / 0.08782776)) - abs((x3 * -0.30196515) / (x2 + 0.28085017)))"
17,1.101671,"abs(((7.010128 - (x2 / 0.08956971)) - abs((x3 * -0.68927026) / (x2 + 0.35791925))) - x3)"
20,1.1011673,"abs((7.027541 - (x2 / 0.089155)) - abs(x3 * ((exp(x2) / (x2 + 0.27055034)) * -0.31969818))) + x0"
