Complexity,Loss,Equation
1,1.6134062,"7.3453445"
3,1.4760697,"6.8851523 - x3"
4,1.3986677,"8.149529 - exp(x3)"
5,1.3621875,"7.7114496 - (x3 * x3)"
6,1.3276712,"7.4221206 - (x3 + abs(x3))"
7,1.2640673,"(7.2925444 - (x3 * x3)) - x3"
8,1.0960929,"7.8828707 - abs((x3 * 2.5747075) + 1.1868536)"
9,1.0902011,"abs(abs(1.2938529 + (x3 * 2.796451)) - 7.911289)"
10,1.0787096,"7.908088 - abs(((x3 + x2) * 2.4570713) + 1.3072764)"
11,1.0726327,"abs(7.9356823 - abs(((x3 + 0.5308922) + x2) * 2.6296515))"
12,1.0522816,"7.8731637 - abs(((x3 * 2.5596733) - (x2 / x3)) + 1.2394612)"
13,1.0363717,"7.8920183 - abs(((abs(x2) / x3) + 1.3353109) + (x3 * 2.5522697))"
14,1.0336602,"abs(7.886 - abs(((abs(x2) / x3) + (2.5924559 * x3)) + 1.2666844))"
15,1.0332462,"abs(7.935287 - abs(((x3 * 2.8936827) + ((x2 * -0.96655756) / x3)) + 1.4791068))"
16,1.029744,"abs(7.8841853 - abs(((abs(x2 * -0.9163796) / x3) + (x3 * 2.5641797)) + 1.3070687))"
17,1.0272894,"abs(7.935287 - abs((x3 * 2.8936827) + (((x2 * -0.96655756) / x3) + 1.4791068))) + x0"
18,1.0201257,"abs(x0 + (7.8626714 - abs(((abs(x2) * (1.0580235 / x3)) + (x3 * 2.6212087)) + 1.3790501)))"
