Complexity,Loss,Equation
1,1.6859639,"6.6934214"
3,1.3836259,"x3 + 7.4108744"
4,1.2819656,"8.402072 - exp(x1)"
5,1.2671446,"7.474729 - (x1 * 2.1793492)"
6,1.2540915,"7.7082653 - (abs(x3) + x1)"
7,1.2420318,"(3.5695488 - x1) * (x0 - -2.0577886)"
8,1.2329209,"7.9782023 - abs((x3 * 2.0962765) + 0.32359463)"
9,1.2249635,"((x1 * -2.4870455) + 7.9325814) * (x0 - -0.9126501)"
10,1.2163664,"(((x0 * 5.982953) + 6.157452) - exp(x1)) * 1.4088781"
11,1.2009262,"(x0 - -0.90674514) * (((x3 * x1) + 8.052523) - x1)"
12,1.178944,"(7.687779 - abs(x3 * (x3 + 1.549637))) - (x1 * 1.8481658)"
13,1.1757723,"abs(7.67651 - abs((x3 + 1.6385674) * x3)) - (x1 * 1.8946894)"
14,1.1627544,"((5.034459 - abs(((x3 + x2) + 1.7718368) * x3)) - x1) * 1.554104"
15,1.1131991,"(10.000852 - abs(x3 * 2.6326327)) - abs((x3 + 2.714684) + (x2 / 0.122471675))"
16,1.1081649,"abs((10.001703 - abs(x3 * 2.6340616)) - abs(((x2 / 0.12250359) + x3) + 2.7142484))"
17,1.1075188,"(10.018511 - abs(x3 * 2.6294324)) - abs(((x2 / 0.12679988) + 2.7456784) + (x3 - x0))"
18,1.1021221,"abs(abs(((x3 + (x2 / 0.12449174)) + 2.777935) - x0) - (10.037525 - (abs(x3) * 2.6335623)))"
20,1.0975147,"abs((10.052319 - (abs(x3) * 2.6305196)) - abs(x0 - (((x2 / 0.12923165) + 2.802785) + (x3 - x0))))"
