Complexity,Loss,Equation
1,1.5856969,"7.42594"
3,1.4557759,"7.0231633 - x3"
4,1.3749479,"8.237767 - exp(x3)"
5,1.3366488,"7.746966 - (x3 * x3)"
6,1.309013,"(7.460822 - x3) - abs(x3)"
7,1.2435794,"7.356548 - (x3 * (x3 - -0.9612542))"
8,1.0799513,"7.9263406 - abs((x3 * 2.6158857) - -1.1662337)"
9,1.0740936,"abs(7.955531 - abs((x3 * 2.833014) - -1.2755886))"
10,1.0630176,"7.9504423 - abs(((x2 + x3) * 2.470947) - -1.2782373)"
11,1.0570463,"abs(7.97586 - abs(((x3 - -0.5203831) + x2) * 2.661707))"
12,1.0323261,"7.923524 - abs((x2 / x3) + (-1.3025951 - (x3 * 2.620745)))"
13,1.0171493,"7.9147134 - abs(((x0 / abs(x3)) + -1.2446095) - (x3 * 2.56874))"
14,1.0093381,"abs(7.941174 - abs(((x0 / abs(x3)) + -1.3426468) - (x3 * 2.7551932)))"
15,1.0064713,"7.923524 - abs((x0 / abs(x3)) + (-1.3025951 - (x3 * (2.620745 - x2))))"
16,0.99917424,"abs(7.977752 - abs((x0 / abs(x3)) + (-1.397997 - ((x2 + x3) * 2.6253037))))"
17,0.9877528,"8.039039 - abs(((x0 / abs(x3)) - (x3 * (2.8880148 - (x2 / 0.23169605)))) + -1.5677027)"
19,0.9859117,"abs(8.023257 - abs(((x0 / abs(abs(x3))) - ((2.8008456 - (x2 / 0.21244517)) * x3)) + -1.5271993))"
20,0.9848347,"abs(x0 + (7.977752 - abs(((x0 / abs(x3 - 0.0051843566)) + -1.397997) - ((x2 + x3) * 2.6253037))))"
