Complexity,Loss,Equation
1,1.555319,"7.504142"
3,1.43795,"7.154218 - x3"
4,1.3533151,"8.322134 - exp(x3)"
5,1.3101398,"7.7790427 - (x3 * x3)"
6,1.3019743,"7.3956547 - (abs(x3) + x3)"
7,1.2285798,"7.3956547 - (x3 * (x3 + 0.99704397))"
8,1.1241069,"7.841407 - abs((x3 + x3) - -0.8726114)"
9,1.1094683,"exp(exp(0.5329918 - ((x3 + 0.8900499) * x3)))"
10,1.0435487,"exp(1.5544196 - ((x3 + 0.8787503) * x3)) + 2.0999742"
11,1.0334011,"exp(exp(0.4211385 - ((x3 + 0.85917807) * x3))) + 1.7124461"
12,1.020749,"exp(1.5461609 - ((x3 - x0) * (x3 + 0.85981274))) + 2.1036"
14,1.0130284,"exp(1.3397738 - ((x3 - x0) * ((x3 + 0.87172157) * 1.462761))) + 2.7034113"
15,1.0112258,"exp(exp((x0 + (0.2894471 - x3)) * (x3 - (x0 - 1.2625767)))) + 1.752795"
16,1.010032,"exp(1.2957212 - ((((x3 - x0) * 1.3651867) + x2) * (x3 + 0.89276177))) + 2.7387226"
17,0.99891484,"exp(exp(((0.3289651 - (x3 * 0.7264475)) + x0) * (x3 - (x0 - 1.3933452)))) + 1.3966818"
18,0.99890393,"exp(abs(exp(((0.32757455 - (x3 * 0.72592497)) + x0) * (x3 - (x0 - 1.3922993))))) + 1.420025"
19,0.9966558,"(exp(exp((x3 - (x0 - 1.3634446)) * (((0.43865225 - x3) * 0.7294462) + x0))) + 1.6166325) - x2"
20,0.9942367,"(exp(exp((x3 - (x0 - 1.4313548)) * (x0 + ((0.49516717 - x3) * 0.66406083)))) + 1.4341294) - abs(x0)"
