Complexity,Loss,Equation
1,1.690908,"6.876134"
3,1.3679394,"x3 + 7.4792194"
4,1.265442,"8.465475 - exp(x1)"
5,1.2372236,"(3.401729 - x1) * 2.2086422"
6,1.2232672,"(7.8201013 - abs(x3)) - x1"
7,1.2088012,"(3.323072 - x1) * (x0 + 2.2400215)"
8,1.1758248,"(1.703404 - x2) * (4.5169797 - abs(x3))"
10,1.1561027,"(4.2959065 - abs(x3)) * ((1.7764015 - x2) + x0)"
12,1.1450691,"(((3.028522 - abs(x3)) - x1) - x3) * (2.5002148 + x0)"
13,1.1284021,"(((5.482073 - abs(x3)) - x1) - abs(x3 + 2.0676215)) * 2.2377539"
14,1.1268549,"abs((((5.482073 - abs(x3)) - x1) - abs(2.0676215 + x3)) * 2.2377539)"
15,1.1066455,"(((5.544089 - abs(x3)) - x1) - abs(x3 + 2.0077357)) * (x0 + 2.125025)"
16,1.1050866,"(x0 + 2.1660776) * abs(((5.4923496 - abs(x3)) - x1) - abs(x3 + 2.0196664))"
17,1.0969863,"(x0 + 2.2203727) * (((5.4760294 - abs(x3)) - x1) - abs(x3 + (2.1205232 - x0)))"
18,1.0940151,"abs((x0 + 2.480162) * (abs(x3 + (2.0700066 - x0)) - ((5.096939 - abs(x3)) - x1)))"
19,1.0921593,"(x0 + 2.1383395) * (((5.6324444 - abs(x0 - x3)) - x1) - abs((x3 + 2.1209457) - x0))"
20,1.0895385,"(x0 + 2.3918927) * abs(abs((x3 + 2.0750313) - x0) - ((5.234914 - abs(x0 - x3)) - x1))"
