Complexity,Loss,Equation
1,1.5125633,"7.6103344"
3,1.4049845,"7.284133 - x3"
4,1.3209635,"8.377726 - exp(x3)"
5,1.27905,"7.837327 - (x3 * x3)"
6,1.2708554,"7.6258717 - (x3 + abs(x3))"
7,1.2071993,"7.4397225 - ((x3 + 1.058982) * x3)"
8,1.0642912,"8.051462 - abs((x3 + 0.4144374) * -2.706494)"
9,1.0594255,"abs(8.086784 - abs((x3 * 2.94534) + 1.2391626))"
10,1.0509114,"8.078109 - (abs((x3 - x0) + 0.46640378) * 2.6011853)"
11,1.0461092,"abs(8.159637 - abs((x0 + (-0.4716968 - x3)) * 3.218151))"
12,1.0379779,"((x0 - abs(x3 + (0.43528593 - x0))) * 2.5430703) + 7.9595227"
13,1.0340297,"abs(((x0 - abs(x0 - (x3 + 0.42807043))) * 2.730463) + 7.9833775)"
14,1.0298505,"(((x0 - abs(x3 + 0.345878)) * (x1 + 2.9067707)) - x3) + 7.5869627"
15,1.026365,"abs(7.690633 - abs((((x3 * -0.60998863) + 2.652616) * x3) + 1.0549533)) - x3"
16,1.0130202,"(((x1 + 3.0495474) * (x0 - abs(x0 - (x3 + 0.36684188)))) + 7.6493626) - x3"
18,1.0000137,"(((x3 * -0.6415658) + 2.8390582) * (x0 - abs((x3 - x0) + 0.38851553))) + (7.623106 - x3)"
19,0.99338555,"abs(((x0 - abs(x0 - (x3 + 0.38911504))) * ((x3 * -0.66246355) + 2.8840287)) + 7.6293297) - x3"
20,0.99148613,"(7.6795244 - x3) + (((x3 * -0.58441347) + 2.6596916) * (x0 - abs((x3 + (x2 + 0.46200198)) - x0)))"
