Complexity,Loss,Equation
1,1.6890427,"7.014203"
3,1.3556699,"x3 + 7.564759"
4,1.2519515,"8.520962 - exp(x1)"
5,1.2163571,"7.5594845 - (x1 * 2.2437675)"
6,1.1970643,"(7.8933744 - x1) - abs(x3)"
7,1.1967354,"((x0 + 3.2038977) - x1) * 2.3442519"
8,1.1865793,"8.224026 - abs((x3 - -0.14217037) * 2.2796636)"
9,1.1561407,"exp(x0) * ((7.657675 - x1) - abs(x3))"
10,1.1496606,"exp(1.9898266 - abs(0.87152964 - exp(x3))) + 1.4493911"
11,1.1495492,"(((6.93456 - x1) - abs(x3)) / 0.89792836) * exp(x0)"
12,1.139242,"(exp(x0 * exp(x3)) * (7.7230606 - abs(x3))) - x1"
13,1.1314181,"(exp(x0 * exp(x2 * 18.94002)) * (7.523882 - x1)) - x1"
15,1.0946629,"exp(x0 * (exp(x2 * 14.135685) * 2.9410684)) * ((7.3907566 - x1) - x1)"
17,1.0523146,"(((x0 * ((x2 * 13.719765) + (2.1800232 - x1))) * 10.409258) - x1) - (x1 - 7.4350758)"
18,1.0501941,"abs(((x0 * (((x2 * 13.801124) + (2.16733 - x1)) * 10.562934)) - x1) - (x1 - 7.4387))"
19,1.0491385,"(((((x2 * 14.211497) + (2.2062802 - x1)) * (x0 * 10.195652)) - x1) - (x1 - 7.3497186)) - x2"
20,1.0470948,"abs(((x0 * (((x2 * 13.879625) + (2.1854594 - x1)) * 11.001637)) - x1) - (x1 - (7.3428025 - x2)))"
