Complexity,Loss,Equation
1,1.4950645,"7.6576204"
3,1.3898121,"7.3314476 - x3"
4,1.3100127,"8.441033 - exp(x3)"
5,1.2704806,"7.885576 - (x3 * x3)"
6,1.2645806,"(7.6716843 - x3) - abs(x3)"
7,1.2015686,"((-1.0212241 - x3) * x3) + 7.501795"
8,1.0631338,"8.088551 - abs((x3 - -0.41170487) * 2.7276847)"
9,1.0192128,"exp(exp(x3 * (-0.83458406 - x3)) + 0.88861233)"
11,1.0188829,"exp(exp((x3 + 0.8358079) * (x3 * -0.9423144)) + 0.89920443)"
12,1.0151005,"exp(exp(x3 * ((exp(x3) * -1.6434894) - -0.68151265)) + 0.89411736)"
13,1.0039827,"exp(exp(((x3 - x0) * -0.83752286) * (x3 + 0.81834286)) + 0.9102119)"
14,0.99966496,"exp(exp(((exp(x3) * -1.5442189) - -0.6530192) * (x3 - x0)) + 0.89449716)"
15,0.999607,"exp(exp((x3 + 0.81628996) * (x0 + ((x2 + -0.76153076) * x3))) + 0.9081972)"
16,0.99465525,"exp(1.0409977 + exp((x3 + 0.5823336) * (((exp(x3) - x0) * -1.3055319) - -1.0216259)))"
17,0.9944801,"exp(1.0409977 + exp((x3 + 0.5823336) * ((abs(exp(x3) - x0) * -1.3055319) - -1.0216259)))"
18,0.9867237,"exp(exp((x3 + 0.46212187) * ((((x0 * -2.677314) + exp(x3)) * -1.479954) - -0.9675856)) + 1.0703529)"
19,0.98179716,"exp(exp(((exp((x3 - x0) - abs(x2)) * -1.4170196) - -1.1266619) * (x3 + 0.66983515)) + 0.997858)"
20,0.98109895,"exp(exp((x3 + 0.45329303) * ((exp((x0 * -2.759831) + (x3 - x0)) * -1.593683) - -1.0336343)) + 1.0713966)"
