Complexity,Loss,Equation
1,1.6878952,"7.2749305"
3,1.3511384,"x3 + 7.637068"
4,1.3163762,"7.653785 - abs(x3)"
5,1.1957458,"7.611214 - (x1 * 2.2810168)"
6,1.1752641,"(7.9376698 - x1) - abs(x3)"
8,1.1301916,"(4.285663 - abs(x3)) * (1.8418072 - x2)"
10,1.1161253,"(4.1111794 - abs(x3)) * (1.8734306 - (x2 / 0.6115931))"
11,1.116035,"(4.055128 - abs(abs(x3))) * (1.9007199 - (x2 / 0.60357004))"
12,1.0993426,"((2.7029727 - abs(x3)) * ((2.9159184 - x2) - x2)) - x3"
13,1.096096,"abs(x3 + ((x2 - (2.8505688 - x2)) * (2.7504046 - abs(x3))))"
14,1.0870695,"((2.730313 - abs(x3)) * (x0 + ((2.86126 - x2) - x2))) - x3"
16,1.0841773,"((((x0 - x2) - x2) + 2.8560214) * (2.734559 - abs(x0 - x3))) - x3"
17,1.0775698,"abs(x3 + ((x2 - (2.754989 - (x2 - x0))) * (2.84098 - abs(x0 - x3))))"
19,1.0717357,"abs(x3 + ((x0 + (2.7334304 - abs(x3 - x0))) * (x2 - (2.8491266 - (x2 - x0)))))"
