Complexity,Loss,Equation
1,1.4795098,"7.7021704"
3,1.3786185,"7.3526235 - x3"
4,1.2995013,"8.444276 - exp(x3)"
5,1.2616264,"7.928318 - (x3 * x3)"
6,1.2563275,"(7.7141123 - abs(x3)) - x3"
7,1.1388559,"exp(2.1530883 - abs(-0.41415668 - x3))"
8,1.040923,"sqrt(exp(4.2203736 - abs(x3 - -0.41535577)))"
10,1.0236359,"sqrt(exp(4.229564 - abs((x0 - x3) + -0.45489833)))"
12,1.006832,"sqrt(exp(4.2403164 - abs((x0 - (x3 + x2)) + -0.5203869)))"
14,1.002443,"sqrt(exp(4.2333965 - abs((x3 + x2) - (x0 + -0.50921607)))) + x0"
15,1.0012609,"sqrt(exp(4.235141 - (exp(x2) * abs((x0 + -0.51574653) - (x2 + x3)))))"
16,0.99638057,"(x0 + sqrt(exp(4.2123213 - abs((x0 + -0.498286) - (x3 + x2))))) - x2"
18,0.99636096,"x0 + (sqrt(exp((3.3983326 - abs((x0 + -0.49710715) - (x2 + x3))) + 0.8130366)) - x2)"
19,0.99590224,"x0 + sqrt(exp(4.223881 - (exp(x2 - x0) * abs((x2 + x3) - (x0 + -0.4948641)))))"
20,0.9934408,"abs(x2) + sqrt(exp(4.223881 - (abs((x2 + x3) - (x0 + -0.4948641)) * exp(x2 - x0))))"
