Complexity,Loss,Equation
1,1.459143,"7.739921"
3,1.3597645,"7.3597274 - x3"
4,1.2821535,"8.48599 - exp(x3)"
5,1.2602931,"abs(8.4637165 - exp(x3))"
6,1.1775743,"8.4637165 / (exp(x3) - x3)"
7,1.1242164,"exp(2.1556802 - abs(-0.41641456 - x3))"
8,1.0280868,"sqrt(exp(4.223758 - abs(-0.41496474 - x3)))"
10,1.0096371,"sqrt(exp(4.236251 - abs((x0 + -0.45484045) - x3)))"
12,0.9938717,"sqrt(exp(4.2465816 - abs((x3 - x0) - (-0.524738 - x2))))"
13,0.97357017,"sqrt(exp(4.2572255 - abs((x3 - -0.48573533) - (x0 / abs(x3)))))"
15,0.95236593,"sqrt(exp(4.220084 - abs((x3 - -0.48569578) - (x0 / (abs(x3) + x0)))))"
16,0.9517133,"sqrt(exp(4.2572255 - abs((x0 / abs(abs(x3 - x0))) - (x3 - -0.48573533))))"
17,0.9072838,"sqrt(exp(4.22302 - abs((x3 - -0.41766402) / ((x0 / abs(x1 + -0.09612297)) - -1.0442799))))"
19,0.89364505,"sqrt(exp(4.22302 - abs((x0 - (x3 - -0.41766402)) / ((x0 / abs(x1 + -0.09612297)) - -1.0442799))))"
