Complexity,Loss,Equation
1,0.07653889,"0.10352739"
3,0.018519118,"0.21840097 - x2"
5,0.009390139,"(0.20010766 - x2) * 1.2146357"
7,0.009103305,"(0.20261441 - x2) * (x0 + 1.1514827)"
8,0.0077839997,"((exp(x1) * x0) + 0.21917275) - x2"
9,0.005728019,"(x2 / -0.7257503) + ((x1 * 0.057906475) + 0.2780046)"
10,0.004863952,"0.21923856 + (((x1 + exp(x1)) * x0) - x2)"
11,0.0039348123,"((x0 * (0.72723114 - x3)) + (0.2055678 - x2)) * 1.1468014"
12,0.003552136,"((x0 * abs(x3 + -0.8416296)) + (0.20773257 - x2)) / 0.90478736"
15,0.0027550934,"((0.20795587 - x2) * 1.1059675) + (x0 * exp((x1 - abs(x3)) / x3))"
17,0.0023674644,"(((x0 * exp(((x1 - abs(x3)) / 0.46331543) + 0.20758459)) + 0.20758459) - x2) * 1.106659"
19,0.0023244629,"((0.20775461 - x2) + (exp(x0 + ((x1 - abs(x1 - x3)) - x3)) * x0)) * 1.1181247"
20,0.0023136886,"(((x0 * exp(((x1 - exp(x3)) + 1.1068696) - abs(x3 - x1))) + 0.20736153) - x2) * 1.1231319"
