Complexity,Loss,Equation
1,0.32428104,"x0"
3,0.09979757,"0.44439837 - x3"
5,0.064218156,"(x1 - x2) + 0.38601035"
6,0.04138052,"sqrt(x0 + 0.15427424) + x1"
7,0.017700328,"(x1 + (x0 * 2.0305533)) + 0.4071968"
9,0.0144174965,"(x1 + 0.40585226) + ((x0 * 3.202135) + x2)"
11,0.014366728,"x0 + (x0 + ((x0 + 1.0331817) * (x1 + 0.3974718)))"
12,0.013244376,"((x0 * 2.2921565) + (x0 + sqrt(x2 + 0.16459996))) + x1"
13,0.011841738,"(((x0 + 1.0350435) * (x2 + x1)) + (x0 * 3.3506317)) + 0.408773"
14,0.010958128,"(x1 + (((x0 * 2.073574) + x0) + sqrt(x2 + 0.15950195))) * 1.0669127"
16,0.008599543,"((x0 * 2.2701266) + ((x1 + sqrt(x2 + 0.16036011)) * exp(abs(x0)))) + x0"
18,0.007847413,"(((x0 + exp(abs(x0))) * (sqrt(x2 + 0.15999176) + x1)) + (x0 * 2.2014825)) + x0"
20,0.0077122077,"((x0 * 2.2094293) + (((x1 + sqrt(x2 + 0.15599665)) * (x0 + exp(abs(x0)))) + x0)) - -0.0050411057"
