Complexity,Loss,Equation
1,10.501381,"0.4028709"
3,0.79669935,"-0.088083915 / x3"
4,0.44615078,"abs(0.08808393 / x3)"
5,0.37833443,"(3.9312476e-5 / x3) / x3"
6,0.37672034,"abs((-0.087878264 / x3) + 0.46090922)"
7,0.12605771,"((3.9220948e-5 / x3) / x3) + 0.38108742"
9,0.086513974,"((3.9204388e-5 / x3) / x3) + (x0 - -0.40990996)"
11,0.019416826,"((3.918186e-5 / x3) / x3) + ((x0 / 0.3386634) + 0.42019987)"
18,0.017406126,"(((-0.16255653 / x3) + abs((-0.16909638 / x3) + (-1.5806812 + (x0 * -7.2999725)))) * 0.26622403) + x0"
20,0.017079152,"(x0 + (((-0.1625232 / x3) + abs((x0 * -7.2999725) + ((-0.16914143 / x3) + -1.5806794))) * 0.2662174)) + -0.0030390457"
