Complexity,Loss,Equation
1,0.057055254,"x1"
3,0.027452236,"x1 - -0.05385404"
5,0.00445843,"(x1 * 0.9378229) + 0.10687038"
8,0.0027527572,"x1 - (exp(x0 * -12.849698) * -0.05673856)"
9,0.0024763332,"(((x2 / 1.6126997) + x0) * -4.8885717) + x1"
10,0.0015750974,"((exp(x0 * -9.599083) * 0.065355115) + x1) / 1.0092322"
11,0.0005415693,"((x0 * -1.1963508) / (x1 + 1.0025911)) + (x1 + 0.056880277)"
12,0.00053895713,"abs((x1 + ((x0 * -1.2167689) / (x1 + 1.0374924))) + 0.056950636)"
13,0.00045508443,"((((x0 * -1.1857091) / (x1 + 1.0599403)) + 0.05984827) + x1) * 0.9969206"
15,0.00043786765,"(x0 * (-1.194276 / ((x1 + 0.9967673) * 1.0562466))) + ((x1 * 0.9967673) + 0.05941276)"
17,0.00043016076,"(((x0 * -0.9405512) / ((x1 + (x0 / x0)) * 0.9253832)) + (x1 * 0.9906683)) + 0.064291604"
20,0.00040969253,"((exp((x0 / (x1 + (x2 + 0.42579198))) * -6.7898645) * (x0 * -0.59290737)) + (x1 * 0.9934465)) + 0.061644062"
