Complexity,Loss,Equation
1,0.1227962,"x1"
3,0.049319625,"x1 + 0.13127026"
5,0.0030852288,"(x1 + 0.22132209) * 0.8966415"
8,0.0030852228,"x1 + abs((1.9193386 - x1) * 0.10344774)"
9,0.0024847104,"((x0 + x1) * 0.905582) + (0.19038616 - x0)"
10,0.0013963983,"(abs(x0 + x1) * 0.905582) + (0.19038616 - x0)"
14,0.00037952513,"(2.9812896e-5 / x3) + (((abs(x0 + x1) * 0.9055873) + 0.19040066) - x0)"
16,0.00037327857,"((x0 * -0.0008510196) / x3) + ((abs((x0 + x1) * 0.9050981) + 0.19088791) - x0)"
18,0.00020705462,"(abs(x1 + x0) * 0.90390366) + (0.19198182 - (x0 + (x1 * ((x0 * 0.026381828) / x3))))"
19,0.00020062625,"abs((((x1 * (x0 * 0.025934543)) / x3) + x0) - (abs((x1 + x0) * 0.9038726) + 0.19202384))"
20,0.00018906892,"abs(abs((x0 - ((abs(x0 + x1) * 0.9039515) + 0.1919577)) + ((x0 / x3) * (x1 * 0.025255475))))"
