Complexity,Loss,Equation
1,0.012321413,"-0.79088813"
3,0.00904119,"-0.72944885 - x0"
4,0.0059120855,"exp(x0) * -0.74008155"
5,0.0029083092,"(x1 * -0.046879124) + -0.7645216"
6,0.0018304586,"(abs(x2) + -0.7592823) - x0"
7,0.0006832282,"(abs(x2) + 0.24182354) - exp(x0)"
8,0.00011243423,"(abs(x2 * -0.8307364) - x0) + -0.7545392"
10,0.00011096398,"(((abs(x2) * 0.831117) + -1.0154039) - x0) + 0.26084548"
12,9.258588e-6,"((((0.21524923 * x2) + 0.8510604) * abs(x2)) - x0) + -0.7550174"
13,9.23872e-6,"((abs(x2) * ((x2 * 0.21524912) + 0.85106045)) - abs(x0)) + -0.75501734"
16,7.9671545e-6,"(((((x0 + 0.8216707) * (x2 * 0.23693435)) + 0.85106426) * abs(x2)) + -0.7550135) - x0"
17,7.5896583e-6,"((0.85106355 + ((x0 + abs(-0.81917727)) * (x2 * 0.23693474))) * abs(x2)) + (-0.75501424 - x0)"
18,5.4836273e-6,"abs((((x2 * (x0 + (x0 - -0.75229627))) * 0.23461258) + 0.8510758) * x2) + (-0.75500023 - x0)"
