Complexity,Loss,Equation
1,0.27530858,"x1"
2,0.27392223,"abs(x1)"
3,0.10860676,"x0 * 8.4825"
4,0.05208912,"sqrt(x1 + 0.18803479)"
5,0.013284976,"(x1 * 0.7266427) + 0.43183202"
7,0.005493259,"x2 + ((x3 * -0.5547822) + 0.40243942)"
8,0.0043787737,"-0.5969287 + ((x3 * -0.5514635) + exp(x2))"
11,0.0029013862,"x2 + ((((x3 * 0.01533672) + -0.5253377) * x3) + 0.408423)"
13,0.0018156144,"(x3 * ((x3 * 0.020361066) + -0.5376302)) + ((x2 + 0.3246537) * 1.233966)"
14,0.0015975237,"(x2 * 1.2309772) + (abs(((x3 * -0.018628873) + 0.5416156) * x3) + 0.39869323)"
17,0.0013571273,"(((x3 + 1.4137571) * ((x1 * -0.022451527) + -0.4716642)) + (x2 + (x3 / x3))) * 1.1993177"
18,0.0013508688,"((x3 / x3) + (((x3 + 1.4137571) * ((abs(x1) * -0.022451563) + -0.47166413)) + x2)) * 1.1993177"
