Complexity,Loss,Equation
1,0.26051116,"x1"
3,0.19733477,"x1 * 0.6792382"
4,0.19203892,"x1 - sqrt(x0)"
5,0.085437916,"(0.07019836 / x0) * x1"
7,0.02057423,"((x1 + -0.7887766) * x3) * -2.0435646"
9,0.0039176457,"(x1 * (-0.9938926 - (x1 * x3))) + 0.12753512"
10,0.0034119375,"abs(x1 * ((x1 * x3) - -0.9832974)) + 0.117016494"
11,0.0017169751,"(-0.8111377 - (x3 * x1)) * ((x1 * 1.0751332) + -0.15632196)"
13,0.0010896381,"(x1 * ((-0.9761823 - (x1 * x3)) - (x0 * 0.2634302))) + 0.12769973"
15,6.807037e-5,"(((x1 - 0.029320456) * (-0.9260855 - (x1 * x3))) - (x0 * 0.2970231)) + 0.1011755"
18,6.610714e-5,"abs((x1 - (x1 * 0.012510464)) * ((-0.94876665 - (x3 * x1)) - (x0 * 0.34633735))) + 0.117262095"
