Complexity,Loss,Equation
1,0.3356939,"1.3616798"
3,0.13119166,"x1 + 0.9643619"
4,0.049103916,"exp(x3 * -0.37074012)"
5,0.024712695,"(x3 * -0.44318506) + 1.0741897"
6,0.012217343,"exp((x1 * 0.54653865) - -0.09431774)"
7,0.010542393,"(x3 * -0.42422113) + (1.1136426 + x0)"
8,0.004794066,"(exp(x3 * -0.19142985) + -0.49837637) * 2.1216621"
9,0.0037913735,"sqrt((exp(x3 * -0.5273528) * 1.6521231) + -0.51471484)"
11,0.003789324,"sqrt((1.6521231 * exp(x3 * -0.5273369)) + -0.51471484) * 1.0000302"
12,0.002602967,"sqrt((sqrt(exp(x3 / -0.8737316) + -0.2103719) * 1.3389776) + x0)"
14,0.002312353,"sqrt((x0 / 1.2441916) + sqrt((exp(x3 / -0.86329836) + -0.20394664) * 1.7557849))"
18,0.0022692543,"sqrt((x0 / ((x0 * x3) + 1.1508862)) + (sqrt(exp(x3 / -0.8672664) + -0.20636484) * 1.3297255))"
19,0.0022692496,"abs(sqrt((x0 / ((x3 * x0) + 1.1508862)) + (sqrt(exp(x3 / -0.8672664) + -0.20636486) * 1.3297255)))"
