Complexity,Loss,Equation
1,0.72713757,"0.23599589"
3,0.5077982,"0.014923626 / x0"
4,0.24421045,"abs(0.014923626 / x0)"
5,0.09840524,"(7.3162155e-5 / x0) / x0"
6,0.08045909,"abs(0.06143183 / (x1 + -0.7689981))"
7,0.06279713,"(x3 / (x1 + -0.76882285)) * 0.052705754"
8,0.003980834,"abs((0.36618212 / (0.8376316 - x1)) + -1.0661836)"
12,0.0033997633,"abs(((0.36618212 + (x0 * x2)) / (0.8376316 - x1)) + -1.0661836)"
14,0.0016007982,"(x0 * -0.385661) + abs(-1.0062865 + ((0.50780123 / (0.8328858 - x1)) / 1.4856895))"
15,0.00088615343,"(x0 * -0.3928145) + abs(abs((0.5087877 / (0.8330956 - x1)) / 1.485033) + -1.005861)"
19,0.00087736174,"(x0 * -0.3928266) + abs(abs((((x2 * x2) + (0.5078152 / (0.8329385 - x1))) / 1.4852196) + -1.0067065))"
20,0.0007087402,"abs(abs((x0 * -0.39282662) + abs((((x2 * x2) + (0.50781894 / (0.8329545 - x1))) / 1.4852173) + -1.0067028)))"
