Complexity,Loss,Equation
1,2.050858,"x1"
2,2.0171857,"abs(x3)"
3,0.8669225,"x2 * -35.199318"
5,0.081075184,"(x1 * 26.640547) + -15.055048"
6,0.06448737,"abs((x1 * -30.443966) + 18.078249)"
7,0.03690225,"exp(exp(x1 * 2.4211407)) * 0.007342305"
8,0.015871912,"exp(exp(x1 * exp(x1))) * 0.022609297"
10,0.009657085,"(exp(exp(exp(x1) * x1)) - -1.2198166) * 0.022498658"
12,0.006275356,"(0.022819977 * (exp(exp(x1 * exp(x1))) - -4.427341)) - x0"
14,0.006136507,"((exp(exp(x1 * exp(x1))) - -5.3234687) * 0.022834195) - (x0 * 1.2535772)"
16,0.0022088408,"(abs((x2 - x3) * (exp(exp(x1 * x1)) - 4.496779)) + -0.23238501) * 2.9599867"
18,0.0021868527,"((((x2 - x3) * abs(exp(exp(x1 * x1)) - 4.496753)) + -0.23275593) * 2.9599419) + 0.001353153"
