Complexity,Loss,Equation
1,0.046118658,"1.54974"
4,0.02605858,"sqrt(x1 - -1.9945204)"
5,0.025938537,"(x1 * 0.24529108) + 1.442697"
6,0.0170642,"sqrt((x2 + x1) + 2.0503478)"
7,0.0070590177,"((x1 * 0.4590025) + 1.4608543) - x0"
8,0.0029352903,"(exp(x1) * 0.40376738) + (x2 + 1.0033064)"
10,0.0025536881,"x1 + ((x2 + 1.4065477) * exp(x1 / -2.5130975))"
13,0.0023072297,"((x0 * -1.5649985) + x1) + exp(exp(x1 / -0.8839774) * 0.39785573)"
14,0.0019622776,"((x1 + (x0 * -1.1503863)) + (exp(x1 * -0.59798324) * 1.1575587)) * 1.2818096"
15,0.0018768443,"x1 + (((x0 * -1.5175362) + -0.10916711) + exp(exp(x1 / -1.1732295) * 0.46677145))"
16,0.001318574,"((0.64112157 + (exp((x0 + x1) / -1.4049674) * 0.8498059)) + x1) + (x0 * -1.0289036)"
