Complexity,Loss,Equation
1,2.5819328,"3.3118036"
2,2.131069,"exp(x1)"
3,1.0842583,"x3 * -4.3574758"
4,0.7732909,"abs(x3) * 4.3574753"
5,0.39370856,"0.23520112 / (0.82271755 - x1)"
6,0.26594654,"exp((13.238666 * x1) + -8.623701)"
7,0.24727696,"x3 + (0.33356592 / (0.82924163 - x1))"
9,0.23152101,"(x3 + -0.7527541) - (-0.57406306 / (0.856248 - x1))"
10,0.17832088,"(x3 + -0.7527639) - (-0.57406205 / (0.85620344 - abs(x1)))"
11,0.17128952,"((x1 * (x1 / 0.27183712)) + -1.145292) * (x3 * -4.037575)"
12,0.14624092,"(x3 + (-0.8573978 - (-0.81211615 / (0.8769491 - abs(x1))))) - x1"
13,0.09665672,"(((x1 * x1) / 0.19549176) + -1.5986435) * ((x3 * -2.7263489) + 0.2286568)"
14,0.06273142,"((x1 * abs(x1 / 0.28281152)) + -1.1097472) * ((x3 * -3.9273903) + 0.37246034)"
16,0.03811268,"(((abs(x1) * x1) / 0.23657684) + -1.320625) * (((x3 * -3.315892) + x2) + 0.32735932)"
18,0.018124998,"((x3 * -3.3250394) + ((x2 + 0.35980847) + x2)) * (((x1 * abs(x1)) / 0.23242287) + -1.3487244)"
