Complexity,Loss,Equation
1,1.6991261,"9.166981"
3,1.2622358,"x3 * -7.3799067"
4,1.0012566,"exp(x1 * 2.6968904)"
5,0.2018338,"(x1 * 42.75967) + -25.937347"
6,0.17884119,"abs((x1 * 52.417377) + -33.834133)"
7,0.1581757,"(x1 * 43.187927) + (-26.289515 - x2)"
8,0.06635761,"exp(((x1 * x1) * 7.775829) + -3.034553)"
10,0.023394385,"x2 + exp(-3.047268 + (x1 * (7.8127284 * x1)))"
11,0.021530231,"abs(x2 + exp(((x1 * x1) * 7.853647) + -3.0748765))"
14,0.020930061,"exp(((x1 * x1) * 7.8123736) + -3.046505) - ((x2 / -0.93922746) / 0.95642436)"
