Complexity,Loss,Equation
1,0.12643676,"1.9144888"
3,0.08090826,"x2 + 1.9177078"
4,0.0645206,"exp(x2 + 0.676572)"
5,0.051273823,"exp(0.70883197 - abs(x2))"
6,0.036506653,"2.054201 - abs(x2 * 2.2993922)"
7,0.03648608,"abs((abs(x2) * 2.3030984) + -2.05432)"
8,0.025195956,"sqrt((x2 / 0.1326973) + (x1 + 3.4240644))"
9,0.0065627894,"((x1 + (x2 / 0.20559485)) + 3.6893444) / 2.1018033"
11,0.0064598056,"(x2 / 0.43245146) + (((x1 * -0.525045) - -1.7564764) + x1)"
12,0.0022537047,"((x2 / 0.43334702) + (x1 - -0.7858256)) + exp(x1 * -0.7076405)"
14,0.0012801489,"(x2 / 0.4339577) + (x1 + ((0.82973856 * exp(x1 * -0.93283767)) + 0.96482575))"
15,0.0011877484,"abs(((exp(x1 * -0.9264086) * 0.82857245) + (x1 + 0.964381)) + (x2 / 0.43226326))"
16,0.0011702909,"abs(abs((0.9644141 + (x1 + (exp(x1 * -0.9262985) * 0.82866734))) + (x2 / 0.43195048)))"
