Complexity,Loss,Equation
1,0.07540909,"0.13994165"
3,0.042620976,"0.23353969 - x2"
5,0.034986977,"(x2 * -1.3783425) + 0.25227273"
6,0.033169407,"exp(-1.347124 - (x2 / 0.086588554))"
7,0.017125005,"(0.07910721 - (x2 + x0)) / 0.45452508"
8,0.015490113,"exp(-1.347124 - (x2 / (x0 / -0.64217544)))"
9,0.015073502,"exp(-1.347124 - (abs(x2) / (x0 / -0.64217544)))"
10,0.0103324065,"abs(0.22716266 - ((x2 + x0) / 0.43242246)) + -0.053623144"
11,0.009526507,"abs(abs((x2 + (x0 - 0.10114035)) / 0.4196643) + -0.06851755)"
12,0.007301712,"(((x0 + x2) - 0.0667513) / -0.51040334) + abs(0.06485572 - x2)"
13,0.007140299,"abs(0.06485572 - x2) + (((abs(x2) + x0) - 0.066751294) / -0.51040334)"
14,0.0065541305,"(abs(x2 - 0.06950165) + (((x0 + x2) - 0.07272594) / -0.45234755)) / 1.1780674"
15,0.0064342446,"(abs(0.068995036 - x2) + (((abs(x2) + x0) - 0.07227443) / -0.4565565)) / 1.1623229"
16,0.0052307267,"((abs(x0 + (x2 - 0.025572324)) - (x0 / 0.4406367)) - (x2 / 0.5299556)) + 0.11654671"
17,0.00477954,"abs(((abs((x0 - 0.016946262) + x2) + 0.11685554) - (x2 / 0.47288144)) - (x0 / 0.3917363))"
18,0.003748402,"(((abs((x0 + x2) - 0.012354855) - (x2 / 0.5779749)) - (x0 / 0.44444922)) * 1.2934142) + 0.097260185"
19,0.003664171,"(((abs(x2 + (x0 - 0.012838626)) - abs(x2 / 0.5778868)) - (x0 / 0.44320664)) * 1.2935584) + 0.09768622"
