Complexity,Loss,Equation
1,0.15644757,"x3"
2,0.14451018,"abs(x3)"
3,0.05676939,"x3 + 0.17383137"
5,0.03612615,"(x3 + 0.2622797) - x2"
7,0.017186703,"(x3 - (x1 - 0.41809914)) / 1.7072078"
9,0.005250867,"((x1 * -0.45395914) + (x3 / 1.4402359)) + 0.21704735"
12,0.0027265726,"(abs((x3 + (x1 * 0.79239243)) / 1.4308268) + 0.2147209) - x1"
14,0.0021360472,"(abs(((x3 + (x1 * 0.7915495)) - -0.006270585) / 1.4328746) + 0.21081656) - x1"
18,0.0012602961,"(((x2 * x1) + 0.8893212) / 4.224014) + (abs((x1 * 0.5516061) + (x3 / 1.3988179)) - x1)"
20,0.0008698072,"(abs(((x1 * 0.7675724) + (x3 - -0.0035676016)) / 1.4000149) + (((x2 * x1) + 0.7548479) / 3.6227918)) - x1"
