Complexity,Loss,Equation
1,0.14102809,"1.5829716"
3,0.059536144,"1.2028772 - x1"
5,0.033585254,"(x1 * x1) + 1.4221398"
6,0.02724177,"abs(x1 + 0.14707974) + 1.3295113"
8,0.022059726,"abs((x1 / 0.8680461) + 0.16706373) + 1.3048474"
9,0.009337242,"((x0 * 5.3174314) + (x3 + 2.1022358)) * 0.6296168"
10,0.009223993,"abs((x3 + ((x0 * 5.317425) + 2.1024551)) * 0.63042486)"
11,0.008987592,"((x3 + 2.1022358) + ((x0 - -5.378562) * x0)) * 0.6296168"
12,0.008638914,"(((exp(x0 + 1.7271698) * x0) + x3) * 0.6396692) + 1.3190689"
13,0.008574357,"((x0 * ((x3 * x1) + 5.4788184)) + (x3 + 2.102063)) * 0.62893546"
14,0.0070673684,"exp(((x0 * ((x1 * 2.2438684) + 5.754689)) + (x3 + 0.8082013)) * 0.36870635)"
15,0.0061204527,"exp((((5.754689 + (exp(x3) * x1)) * x0) + (0.8082013 + x3)) * 0.36870635)"
