Complexity,Loss,Equation
1,0.24151798,"1.4847336"
3,0.10760047,"1.8049163 - x1"
4,0.09733518,"sqrt(exp(exp(x3)))"
5,0.05655507,"(x3 * 0.7013443) + 1.8054997"
6,0.014893102,"exp((x3 + 0.5937583) + x1)"
10,0.004858434,"exp(x2 - x1) + (0.7090168 - (x0 * 2.7564092))"
12,0.0039143204,"(exp(-0.08817201 - x1) + 0.74099714) * ((x2 + 1.0647833) - x0)"
13,0.003909814,"abs((exp(-0.08840108 - x1) + 0.7409696) * ((x2 - x0) + 1.0650291))"
14,0.0038930296,"(1.1716728 - ((x2 / -0.87002057) + x0)) * (exp(-0.1810543 - x1) + 0.67695844)"
15,0.003893006,"(exp(-0.18862621 - x1) + 0.67626506) * abs(((x2 / -0.86443275) + x0) - 1.1769975)"
