Complexity,Loss,Equation
1,0.073366866,"1.2710088"
3,0.046292663,"x2 + 1.3505386"
4,0.03971634,"exp(x2 + 0.3263819)"
5,0.01847868,"(x2 * 2.2212656) + 1.4538721"
6,0.01753739,"exp((x2 * 2.1161103) + 0.41671684)"
7,0.015251374,"exp(abs((x2 * 2.6130595) + 0.45621487))"
8,0.014102268,"exp(((x0 + x2) * 2.4606102) + 0.52060074)"
9,0.010634089,"exp(x0) + abs((x2 * -3.3081353) + -0.5760111)"
10,0.0069244625,"sqrt((x1 + 1.8962073) + x1) + (x3 * 0.5122517)"
12,0.0065425513,"sqrt(x1 + (x1 + 2.0281398)) + ((x3 * 0.50694025) + -0.045096282)"
14,0.0060839774,"exp(abs(((x2 + -0.9358407) + (x3 * 0.30961093)) + sqrt(x1 + 1.7429535)))"
18,0.005747652,"exp(abs(((x2 + -0.92574435) + (x3 * 0.31115115)) + (sqrt(x1 + 1.7106742) + (x0 * x2))))"
