Complexity,Loss,Equation
1,0.18656056,"1.8888592"
3,0.0501014,"1.8576717 - x1"
5,0.029829958,"(x3 / 2.0198634) + 1.9771059"
7,0.026564935,"((-0.012191777 / x2) + 1.7096353) - x1"
8,0.026564917,"abs(1.7096353 + ((-0.012191777 / x2) - x1))"
9,0.015843332,"((-0.011571688 / x2) - (x1 / 1.1513081)) + 1.7177346"
10,0.009344856,"abs((x2 * 3.919669) - -0.35005298) + (1.8125603 - x1)"
12,0.0044927993,"((abs((x2 * 3.557159) - -0.30342305) + x2) + 1.8998209) - x1"
13,0.0040619075,"((exp(x2) - x1) + abs(-0.29031315 - (x2 * 3.374437))) + 0.89981145"
19,0.003930817,"(sqrt(exp((exp(x1) + 1.8166708) * x2) + 2.5188613) - x1) + abs((x2 * 3.543281) - -0.30633855)"
