Complexity,Loss,Equation
1,0.598247,"2.3346777"
3,0.111033335,"x3 + 2.7545025"
5,0.09372419,"(x3 + 2.7781491) - x2"
6,0.03897292,"exp((x3 - -2.358117) / 2.3620427)"
8,0.027221961,"(exp(x3) - (x0 / 0.1733972)) + 1.3735095"
10,0.016508844,"(exp(x2 + x3) + 1.3708984) - (x0 / 0.185019)"
12,0.0022949406,"exp((x2 * 2.5350034) + x3) + (1.3623945 - (x0 / 0.21305238))"
14,0.0022298184,"(exp((x2 * 1.5321449) + (x2 + x3)) - (x0 / 0.2128191)) + 1.3619977"
15,0.0022197452,"abs((exp((x3 + x2) + (x2 * 1.564927)) - (x0 / 0.21354401)) + 1.3617356)"
16,0.002145316,"(exp(x3 + (x2 * (2.5350034 + (x0 * x1)))) + 1.3623945) - (x0 / 0.21305238)"
