Complexity,Loss,Equation
1,0.04322313,"1.7407334"
3,0.040279675,"x0 + 1.682573"
5,0.015010918,"(x1 * -0.31844908) + 1.8129874"
6,0.013938367,"(exp(x1) * -0.2369283) + 2.038865"
7,0.0074728965,"1.7918231 - (x1 * (x3 * -0.34633547))"
9,0.005214763,"((x3 * (-0.37536606 - x1)) * -0.2569417) + 1.836818"
11,0.0029518486,"((-0.00010049329 / x1) + 1.7905918) - ((x1 * -0.34049565) * x3)"
12,0.0029485344,"((-0.00010049329 / x1) + 1.7905918) - abs((x1 * -0.34049565) * x3)"
13,0.0022230267,"1.7965301 + ((x2 * (0.002604417 / x1)) - ((x3 * x1) * -0.35461155))"
14,0.0019695996,"exp((((x2 * 0.0013846098) / x1) + 0.5864677) - ((x1 * x3) * -0.20873411))"
15,0.0019588112,"exp((((x2 * 0.0014186468) / x1) + 0.5861017) - abs((x3 * 0.2087901) * x1))"
18,0.0018234968,"exp(((x1 * -0.0015709079) + (((x2 / x1) * 0.0013846098) + 0.5864677)) - ((x3 * x1) * -0.20873411))"
20,0.0018194199,"exp((((x1 * (x3 * 0.002719878)) + ((0.0013809078 / x1) * x2)) + 0.5864228) - ((x1 * x3) * -0.2079148))"
