Complexity,Loss,Equation
1,0.66065323,"2.4140275"
3,0.07940286,"x3 + 3.033193"
5,0.062314212,"(2.0095532 - x1) * 1.4826106"
7,0.05608374,"(2.931468 - (x1 * 2.9242685)) - x3"
8,0.03601088,"exp((x2 - (x3 * -0.37026107)) + 1.0682094)"
9,0.033330467,"exp(x2 + (exp(x1 * -0.5229018) - x0))"
10,0.013393189,"(exp(x3) - -1.7528523) * (1.0025022 - (x2 * -2.4132395))"
12,0.009623604,"(0.96316874 - (x2 * -2.216983)) * (exp(x3 - x0) - -1.8269224)"
14,0.0053349906,"((((x2 * x0) - x2) * -2.4596448) + 0.991194) * (exp(x3) - -1.7716504)"
16,0.0038917747,"(exp(x3) - -1.7583977) * (((((x1 * x0) * x2) - x2) * -2.5070343) + 0.9982391)"
18,0.0033643076,"(0.9530904 + (((x0 * (x1 * x2)) - x2) * -2.3531897)) * (exp(x3 - x0) - -1.8474457)"
19,0.0032613364,"(((((x0 * abs(x1)) * x2) - x2) * -2.3403122) + 0.9506251) * (exp(x3 - x0) - -1.8530368)"
20,0.0030308706,"(exp(x3 - x0) - -1.8474457) * (((((x0 * (x0 + x1)) * x2) - x2) * -2.3531897) + 0.9530904)"
