Complexity,Loss,Equation
1,0.23996337,"1.9862354"
3,0.07759722,"2.2037125 - x1"
4,0.06865152,"2.2163887 - abs(x1)"
5,0.052556247,"(x3 + 3.36395) * 0.665682"
6,0.017407617,"(-0.18503559 / exp(x3)) + 2.2810664"
8,0.017373225,"(-2.3971388 / exp(x3 + 2.561372)) + 2.2810528"
9,0.013810039,"(-2.1709187 / exp(exp(x3 + 1.4573734))) + 2.1216733"
10,0.0068150363,"((x1 / exp(x1)) + (x3 / 1.2595621)) + 2.1333601"
12,0.006656607,"((x1 / exp(x1)) + ((x3 + 2.770626) / 1.3223306)) - x0"
13,0.0050272546,"(abs((x1 / exp(x1)) - x0) + 2.0956724) + (x3 / 1.3222421)"
15,0.004699866,"((((x3 - x0) + 2.6941338) / 1.2965286) + (x1 / exp(x1))) + abs(x0)"
16,0.0030593474,"(((x3 - x0) + 2.6941338) / 1.2965286) + abs((x1 / exp(x1)) + abs(x0))"
18,0.0029798846,"((((x3 / 1.254606) + 2.1908982) - x0) + abs(abs(x0) + (x1 / exp(x1)))) / 1.054649"
