Complexity,Loss,Equation
1,0.47134352,"2.5422797"
3,0.24071936,"x3 + 3.190668"
5,0.12028611,"(0.050929364 / x0) + 1.5471407"
7,0.062487744,"(x0 * -8.3429985) + (3.4929333 - x1)"
8,0.05660851,"exp(((x1 + x2) + 1.0884352) + x3)"
9,0.05194409,"((x0 * -9.629122) + (4.0894985 - x1)) * 0.84274614"
10,0.03194659,"exp(x1 + (x3 + (x2 + 1.0778086))) + x2"
11,0.012311673,"(x2 * 3.476276) + exp(exp(x1 + x3) + 0.08198534)"
13,0.008468175,"exp(x2 + (exp(x3 + x1) + 0.07476898)) + (x2 / 0.8177932)"
15,0.0069015026,"exp(exp(x3 + x1) + (x2 + 0.07668792)) + (x2 / (x2 + 0.96931624))"
17,0.0057896734,"(x2 * (0.46674147 / (x2 + 0.5360047))) + exp((exp(x1 + x3) + 0.07756326) + x2)"
