Complexity,Loss,Equation
1,0.1496532,"0.36381474"
3,0.07238663,"0.5850202 - x0"
5,0.07119128,"0.6058324 - (x0 / 0.90304613)"
6,0.06678446,"abs(0.32776973 - x0) - -0.25727332"
7,0.05818352,"sqrt(abs((0.29772186 - x0) / -0.73442525))"
8,0.03181384,"0.5771227 - (x0 / (x1 + exp(x3)))"
9,0.031066656,"abs(0.5766204 - (x0 / (x1 + exp(x3))))"
10,0.030240688,"0.58769643 - (exp((x1 / -0.7833855) - x3) * x0)"
11,0.027764073,"abs((exp((x1 / -0.7834053) - x3) * x0) - 0.5875254)"
12,0.025962275,"0.5643056 - (x0 * exp(((x1 * -1.2689387) + x2) - x3))"
13,0.0248187,"abs(0.5886132 - (x0 * exp((x1 / (x0 + -1.0982634)) - x3)))"
14,0.023291111,"0.58583665 - (exp((((x1 / -0.7443642) - x3) * 2.909477) * x0) * x0)"
15,0.02287067,"abs(0.5867401 - (x0 * exp((((x1 / -0.75015396) - x3) * 2.9094234) * x0)))"
16,0.020405116,"0.58689547 - (exp(9.257231 * ((x0 * ((x1 / -0.7494033) - x3)) * x0)) * x0)"
17,0.019992486,"abs((exp(((x0 * x0) * 9.256881) * ((x1 / -0.75086236) - x3)) * x0) - 0.5869336)"
