Complexity,Loss,Equation
1,0.07570228,"0.6760056"
3,0.027995348,"x2 + 0.77682567"
5,0.016392082,"(x2 / 0.64653975) + 0.8492464"
6,0.012876762,"exp(sqrt(abs(x2)) * -1.2511859)"
7,0.01274492,"(sqrt(abs(x2)) * -0.9489128) + 0.98448336"
8,0.01128604,"exp(sqrt(abs(x2)) * -1.4943973) + 0.055706076"
9,0.010599736,"exp((abs(x2) * -9.833127) + -0.87508684) + 0.5190158"
11,0.009616219,"exp(((-7.9110346 - x1) * abs(x2)) + -0.80976164) + 0.4777462"
12,0.008880142,"((x2 - -0.30217996) / abs((x2 / x0) + -0.1569588)) + 0.5628408"
13,0.008341826,"(-0.1032454 + (x2 * -1.6832811)) + exp((-5.4931917 * abs(x2)) + x0)"
14,0.008275999,"abs((x2 * -1.6893924) + (exp((abs(x2) * -5.4919977) + x0) + -0.103823654))"
16,0.007929249,"0.45866725 + exp((-7.1812487 * abs(x2)) + (-0.77268696 - (x1 / abs(3.8968258 / x3))))"
17,0.00791346,"sqrt(exp(((abs(x2) * -9.9075165) + -0.5144312) - (x1 / (2.9491503 / abs(x3)))) + 0.24466324)"
18,0.007907798,"sqrt(abs(exp((-0.5145389 - (x1 / (2.9491446 / abs(x3)))) + (abs(x2) * -9.907539)) + 0.2444232))"
19,0.0077166953,"sqrt(exp((abs(x2) * -9.910578) + (-0.50477964 - (x3 / ((x2 / 0.011584282) / abs(x3))))) + 0.24464387)"
