Complexity,Loss,Equation
1,0.37187347,"1.5044504"
3,0.21535414,"1.7208555 - x1"
5,0.16132006,"1.857151 - (x0 * 4.4416513)"
6,0.153508,"1.8571508 - (abs(x0) * 4.4416523)"
7,0.13205867,"(x3 + 4.416512) * (0.40475073 - x0)"
8,0.1135584,"(1.4877474 - exp(x0)) * (x3 + 3.541234)"
9,0.10643063,"(x3 + 3.6894815) * (1.4727161 - exp(abs(x0)))"
10,0.057137415,"sqrt(((1.3689849 - exp(x0)) * exp(x3)) * 6.2831984)"
11,0.05145911,"sqrt(abs(((1.3538457 - exp(x0)) * exp(x3)) * 6.63819))"
12,0.050289273,"sqrt(abs(((exp(abs(x0)) - 1.3538457) * exp(x3)) * 6.63819))"
14,0.04001691,"(1.4162765 - exp(x0)) * (((x3 + (x1 + x3)) / 0.51680744) + 3.2217038)"
16,0.03423095,"((1.3731242 - exp(x0)) * ((((x3 + x3) + x1) / 0.47709656) + 3.5776758)) + x0"
18,0.025972415,"x0 + ((((x3 + (x3 + x1)) / (0.36744 + x2)) + 3.5772417) * (1.3731496 - exp(x0)))"
20,0.021813884,"(((x0 + (x1 + (x3 + x3))) + 3.2823448) + ((x1 * x1) + x3)) * (1.4249884 - exp(x0))"
