Complexity,Loss,Equation
1,0.27789706,"1.8150985"
3,0.22104688,"1.7997892 - x2"
4,0.16600825,"exp(0.56636643 - x2)"
5,0.024541283,"(x0 * 13.591737) + 1.5189517"
6,0.010612488,"0.53483176 + exp(x2 / -0.29278702)"
7,0.0071074245,"sqrt(exp(x2 / -0.1266068) + 1.5235064)"
8,0.00639472,"exp((x2 / (x0 + -0.4888043)) + 0.44450256)"
10,0.0044994354,"exp((x2 / (x0 + -0.56084436)) + (x0 + 0.44206733))"
12,0.0039269207,"exp(((x2 / -0.43994153) + x0) + (x0 + x0)) + 0.55935955"
14,0.0037016273,"exp(((x0 + -0.04885305) + (x0 + x0)) + (x2 / -0.41804346)) + 0.60848314"
15,0.0035552024,"(abs(exp(((x0 + x0) + -0.28105932) + (x2 / -0.31625676))) + 0.8034763) + x0"
18,0.0035203218,"x0 + (exp(((x2 * -2.4920578) + (x2 / -1.2963573)) + ((x0 + -0.31683907) + x0)) + 0.8307683)"
