Complexity,Loss,Equation
1,0.70363724,"1.9856758"
3,0.6160493,"x0 + 1.9785076"
4,0.5186586,"exp(x0 + 0.6787911)"
5,0.3209212,"(x0 * 6.146315) + 1.9723585"
6,0.15030892,"exp(x2 / -0.1216303) + 0.86611646"
7,0.11025809,"sqrt(exp(x2 / -0.0556123) + 2.4204519)"
8,0.038871005,"exp(x2 / (-0.35933396 - x2)) * 1.8836865"
10,0.027421204,"exp((x2 / (-0.366345 - x2)) - -0.7142632) + -0.17268884"
12,0.023512186,"exp((x2 / (-0.3622298 - x2)) - -0.6404136) + (x2 * -0.54254055)"
14,0.019145617,"(x2 / (x1 + -2.943956)) + exp((x2 / (-0.3607012 - x2)) + 0.6270168)"
16,0.01895738,"(x2 / ((x2 + x1) + -2.9478579)) + exp((x2 / (-0.36082396 - x2)) + 0.629215)"
18,0.018352557,"(x2 / (((x1 + -2.943956) * 0.94094676) + x2)) + exp((x2 / (-0.3607012 - x2)) + 0.6270168)"
20,0.018267177,"(x2 / ((x1 + -2.943956) * (0.94094676 + (x2 * -0.5181735)))) + exp((x2 / (-0.3607012 - x2)) + 0.6270168)"
