Complexity,Loss,Equation
1,0.30915022,"2.5124953"
3,0.28187662,"x2 + 2.3531685"
4,0.2783609,"exp(0.86508113 - x0)"
5,0.21588317,"x1 + (x3 + 2.2193832)"
6,0.20423709,"exp(x1 + x3) + 1.1981556"
7,0.1910213,"((x3 + 1.2685605) + x1) * 1.6524469"
9,0.16334991,"x1 + ((x3 / (x2 + 0.7324875)) + 2.1448245)"
10,0.116245456,"exp((0.6413854 + x1) + (x3 / (x2 + 0.8369877)))"
14,0.098630816,"exp((((x0 + x1) * (x1 + (x3 + 0.6291159))) + x3) + 0.6990436)"
15,0.09243006,"exp((x3 * ((x1 + 0.7098862) * x0)) + sqrt(x3 + (x1 + 0.5898898)))"
16,0.08724493,"exp(sqrt(x3 + abs(x1 + 0.60092396))) + ((x0 * x3) * (x1 + 3.0047572))"
17,0.08723311,"abs((x3 * (x0 * (x1 + 2.9936101))) + exp(sqrt(abs(x1 + 0.6003039) + x3)))"
18,0.075431295,"exp(sqrt(x3 + abs(x1 + 0.61470896))) + ((((x1 + 2.6705656) * x0) + 0.050185602) * x3)"
20,0.07534702,"exp(sqrt(x3 + abs(x1 + 0.61470896))) + (((((x1 * 1.0122178) + 2.6705656) * x0) + 0.050185602) * x3)"
