Complexity,Loss,Equation
1,0.88573927,"2.362392"
3,0.74991536,"exp(exp(x0))"
4,0.67543656,"exp(x0 - -0.8630363)"
5,0.13420495,"0.64005643 / (x2 + 0.2981071)"
6,0.12351088,"exp(0.28300038 / (x2 + 0.3469769))"
8,0.06919569,"x0 + (1.0959504 / sqrt(x2 + 0.22334734))"
9,0.066790424,"x0 + sqrt(abs(1.1600001 / (x2 + 0.2220174)))"
10,0.036083657,"exp((x0 + (0.13646428 / (x2 + 0.29562673))) - -0.37237522)"
12,0.03599171,"exp((x0 + (0.13413477 / (x2 + 0.29514003))) - -0.39111897) - 0.019501055"
14,0.035110477,"exp(x0 + (((0.1344575 / (x2 + 0.2954267)) - -0.391022) / 0.99874717)) - 0.02284538"
15,0.03483784,"exp((exp((x2 * 0.17978121) - 1.8471203) / (x2 + 0.30284265)) + (x0 - -0.31268314))"
16,0.033847257,"exp((x0 * 1.0482054) + ((x0 - -0.39058474) + ((0.13366415 / (x2 + 0.2955309)) - x0)))"
