Complexity,Loss,Equation
1,0.080032036,"0.5092529"
4,0.07410555,"exp(x1 + -0.4250621)"
5,0.0666119,"(x1 * 0.17959867) + 0.5512373"
6,0.014338079,"(abs(x3) + 0.50006455) - x3"
7,0.014294726,"(-0.03240929 / (x1 - 0.19208792)) + 0.42300642"
8,0.01289784,"((abs(x3) + 0.48565865) - x3) * 1.0250609"
9,0.005683401,"((x1 / (x3 + 0.37562856)) * 0.21688825) + 0.57220465"
11,0.0056833895,"(((x1 * 0.21688825) / (x3 + 0.37562856)) - 0.038684227) + 0.6108889"
12,0.0054896446,"(((x0 * -0.45064938) - (x3 * 1.0495954)) + abs(x3)) + 0.50536036"
13,0.0052481918,"(abs(x3) + (((abs(x0) * x3) - x3) * 1.0484852)) + 0.49993563"
15,0.003946975,"abs(abs((x0 / x1) * x2) + x3) + (0.49993563 - (x3 * 1.0484852))"
16,0.0035772533,"(0.49856967 - (x3 * 1.0700345)) + abs(abs(x3 + abs((x1 * x0) / 0.3453615)))"
18,0.003397456,"((0.47984385 - x3) * 1.0490577) + abs(abs(x3 + abs(((x0 + -0.055887382) * x0) / x1)))"
19,0.0022851229,"(0.49610567 - (x3 * 1.0648931)) + abs(abs(x3 + abs(abs(((x1 * x0) / -0.31675667) + 0.0051662475))))"
