Complexity,Loss,Equation
1,3.1805136,"x1"
2,2.070542,"exp(x1)"
3,1.1767489,"x3 * x3"
5,0.8068316,"(x3 * x3) * x1"
6,0.060047112,"exp(x3 * x3) * 0.18170719"
8,0.012975261,"0.44787192 - (exp(x3 * x3) * x2)"
9,0.011151916,"0.43854594 + abs(exp(x3 * x3) * x2)"
10,0.0004030521,"((1.6354884 - exp(x3 * x3)) * x2) + 0.5249109"
11,0.00040305144,"abs(x2 * (exp(x3 * x3) + -1.6353927)) + 0.5249088"
12,0.00033515846,"0.52476573 - (((exp(x3 * x3) - 1.7540742) - x2) * x2)"
13,0.00026683364,"((exp(x3 * x3) * abs(x2)) + 0.5102322) + (x2 * 1.5218159)"
14,0.00020916326,"exp(x2 / 0.58072174) + (abs(exp(x3 * x3) * x2) + -0.4898054)"
15,0.00019361275,"(((exp(x3 * x3) * 1.0067552) * abs(x2)) + 0.51102304) + (x2 / 0.6027406)"
16,0.00016340429,"(((exp(x3 * x3) * abs(x2)) + -0.49101546) + exp(x2 / 0.32134926)) - x2"
17,0.00013977499,"((exp(x3 * x3) * abs(x2)) + 0.50669956) + (x2 / ((0.2770375 * x1) + 0.4125478))"
18,0.00010013187,"(x2 / ((x1 * 0.52494305) + 0.24230927)) + (((exp(x3 * x3) * -0.9934643) * x2) + 0.5093101)"
20,9.337268e-5,"((x2 / (((x0 + x1) * 0.48526058) + 0.22371064)) + ((x2 * -0.9934444) * exp(x3 * x3))) + 0.50883776"
